Gene,Raw p-value,BH Adjusted p-value,Significant (BH)
HG3921-HT4191_f_at,7.059644260098922e-06,0.0008530204055973766,True
D13640_at,7.24933332036337e-06,0.0008613416206811745,True
M23197_at,8.279140978133157e-06,0.0009675737054608407,True
X55740_at,9.358051942741152e-06,0.0010760250370935752,True
X03934_at,9.731237527124463e-06,0.0011011744814423856,True
J03473_at,1.0595009414943025e-05,0.001180184720611388,True
L04569_at,1.101121720349705e-05,0.0012027552164140954,True
U03100_at,1.1135060216486226e-05,0.0012027552164140954,True
L19779_at,1.2830041860575211e-05,0.0013651547525976222,True
M55067_at,1.3230614699884517e-05,0.0013870742969923047,True
X75593_at,1.3923287951253328e-05,0.0014181267126123578,True
M60278_at,1.3924655615495167e-05,0.0014181267126123578,True
HG987-HT987_at,1.5384748766915225e-05,0.0015447587881596992,True
M27749_at,1.7829272586799705e-05,0.0017653456148790988,True
U26312_s_at,2.2870102654318497e-05,0.002233437833186802,True
X72012_at,2.3656312706589035e-05,0.002278998017368557,True
HG2259-HT2348_s_at,2.7927598572744693e-05,0.0026407678538971587,True
M19507_at,2.8152385593517193e-05,0.0026407678538971587,True
S53911_at,2.886756487887309e-05,0.002672686623655666,True
X07438_s_at,3.2703529024826036e-05,0.002989018697666472,True
M84526_at,3.3136426405488456e-05,0.002990247896768699,True
L05148_at,3.364973004123631e-05,0.0029986115682996708,True
K01911_at,3.455519865074805e-05,0.0030412840886565786,True
U65932_at,3.528738224002066e-05,0.0030678505852330157,True
U66838_at,3.871643100654686e-05,0.0033254148993454528,True
M60922_at,4.060906270775472e-05,0.003446452476709326,True
X57985_rna2_at,4.519049238056929e-05,0.0037801462375406138,True
D16481_at,4.563103438656996e-05,0.0037801462375406138,True
U41813_at,4.613167662589892e-05,0.0037801462375406138,True
L35240_at,5.08015368249283e-05,0.0040840662059542735,True
U01317_cds4_at,5.098637850048118e-05,0.0040840662059542735,True
U09196_at,5.369287055806319e-05,0.00425307193564925,True
HG1872-HT1907_at,5.6454644803334945e-05,0.004422694096735987,True
X16546_at,5.952236921816797e-05,0.004612336632133908,True
M77836_at,6.208984179893036e-05,0.004723559193417198,True
X04085_rna1_at,6.254499474574152e-05,0.004723559193417198,True
U49020_cds2_s_at,6.294545144825835e-05,0.004723559193417198,True
D45132_at,6.537513745823939e-05,0.004854784947289464,True
D86970_at,6.610273858764696e-05,0.004858210550426136,True
L13977_at,6.85466191210204e-05,0.0049864168134056575,True
U09579_at,7.045617884036053e-05,0.005073556555080103,True
U43885_at,7.321824086159353e-05,0.005219728391023003,True
U64998_at,7.662993529023273e-05,0.005408859491921476,True
S57212_s_at,7.766260649755319e-05,0.005410619572425256,True
M83664_at,7.817278944589723e-05,0.005410619572425256,True
M57730_at,8.232998175751796e-05,0.005643561922589861,True
X04391_at,8.617242589087883e-05,0.005850697373105478,True
M21186_at,8.735153714447955e-05,0.005874802908518818,True
M21142_cds2_s_at,8.923487935179371e-05,0.005945378083167639,True
U07664_at,9.087226487934575e-05,0.0059984108918968125,True
D83597_at,9.485407514060458e-05,0.006203804602544679,True
M23323_s_at,9.6031395597532e-05,0.006219555181472553,True
HG907-HT907_at,9.683975664798056e-05,0.006219555181472553,True
D87953_at,0.0001056659752977746,0.006725828016944956,True
M16276_at,0.00010804668045239325,0.006774617097313364,True
X03689_s_at,0.00010833305499982094,0.006774617097313364,True
S69272_s_at,0.00011033795255512691,0.0068399935979608665,True
Y00636_at,0.00011130932762475696,0.006840725833076659,True
D49489_at,0.00011332066794932579,0.0069048123231687485,True
M91036_rna1_at,0.00011485153531579864,0.006938784705646852,True
D86962_at,0.00011754148315402642,0.007041623810126507,True
X52192_at,0.00011864508190785898,0.007048506574342723,True
L07956_at,0.00012431736562926383,0.007324450409677866,True
U02031_at,0.00012626816632853828,0.007378407850460242,True
M20902_at,0.00013687854159416613,0.00793339124410415,True
X93921_at,0.00014144575796510347,0.008131990391396955,True
U46006_s_at,0.0001460437894287632,0.008329169398701222,True
M54992_at,0.00014992487675597098,0.008434505925811525,True
U82979_at,0.00015025701396802687,0.008434505925811525,True
U45448_s_at,0.00015151737466726257,0.008438807531272772,True
HG2810-HT2921_at,0.00015694461036661872,0.00867331881630717,True
X61118_rna1_at,0.00016775730276500685,0.009199552395474875,True
U07806_s_at,0.00017035077832753252,0.009270463348831904,True
D26308_at,0.00017222471796233906,0.009285096583868961,True
U77604_at,0.0001735913395191788,0.009285096583868961,True
D83260_s_at,0.00017452699428228936,0.009285096583868961,True
U88902_cds1_f_at,0.00018248355493728343,0.009636483430725137,True
M14745_at,0.0001885521934533781,0.009883739611243622,True
M62994_at,0.00019299023227670206,0.010042535517522693,True
D50663_at,0.00021786220320010413,0.011188988705331332,True
U90551_at,0.00021816095245350754,0.011188988705331332,True
L14778_s_at,0.00022646937282367648,0.011532143991857069,True
M91196_at,0.00023847862766022789,0.012057547068012514,True
X99920_at,0.00024292317780103483,0.012118460009936133,True
U23852_s_at,0.0002430831507113013,0.012118460009936133,True
M34344_at,0.00024915751320323253,0.012335027164068367,True
M16591_s_at,0.0002762008492721344,0.013568324784964801,True
X56199_at,0.00027787563734112233,0.013568324784964801,True
Z48054_at,0.0002799835750241034,0.0135782510635839,True
X67951_at,0.00028578396534929476,0.013765904655237313,True
X95325_s_at,0.0002923634323373519,0.013988314826395851,True
U04241_at,0.0003036430204482293,0.014431140618502843,True
L20688_at,0.00031274702572704744,0.014684302523397818,True
M85289_at,0.0003130893510389211,0.014684302523397818,True
M59820_at,0.00032945928993102053,0.01535108024783167,True
D31885_at,0.0003409317934755299,0.015782485426539303,True
X02160_at,0.00034448116928712837,0.015843911328051213,True
D14689_at,0.0003480628013108827,0.015906023785546685,True
M58525_s_at,0.00037869835676922415,0.017195799907056043,True
M94250_at,0.0003882876072405618,0.017519635139354207,True
U10485_at,0.0003915292947471476,0.0175547946053611,True
Z84497_s_at,0.00040084681102369563,0.017860230723674538,True
L06797_s_at,0.0004044651937703753,0.017909517803658417,True
X95648_at,0.000409916276524451,0.017933595161785762,True
HG3730-HT4000_s_at,0.00041004011942363295,0.017933595161785762,True
M14636_at,0.0004146506068029936,0.017970664778582657,True
L19686_rna1_at,0.00041592925914800654,0.017970664778582657,True
M63438_s_at,0.00042873528664848985,0.018406348965748737,True
L76517_at,0.00043117692204797857,0.018406348965748737,True
X67235_s_at,0.00045626608255435944,0.019361433943631122,True
U57341_at,0.0004614356103664322,0.01946493767042778,True
L09209_s_at,0.0004899433709210035,0.020545919360563727,True
L12392_at,0.0005067991082369794,0.021007598190748766,True
X78031_at,0.0005068462461507628,0.021007598190748766,True
X77737_at,0.0005335113019790029,0.02198498307403648,True
D87127_at,0.0005384531512397919,0.022061106409129175,True
M99701_at,0.0005526834765586328,0.022514745739351392,True
U51240_at,0.0005712537964463414,0.023139024516283906,True
U35451_at,0.0005836515239924148,0.023507636805321613,True
D10040_at,0.0005881749411977374,0.023556736830329605,True
X06956_at,0.000596644375433753,0.023588244411680538,True
M71243_f_at,0.0005988742196018165,0.023588244411680538,True
X64594_at,0.0005988879560266766,0.023588244411680538,True
HG620-HT620_at,0.0006094052833690621,0.023870605852406832,True
M22638_at,0.0006327849436465495,0.024650950072438532,True
M98399_s_at,0.0006559394599818233,0.025267616461399894,True
J03040_at,0.0006561711236708779,0.025267616461399894,True
M96326_rna1_at,0.0006625270626217587,0.025267616461399894,True
X73358_s_at,0.00066279201546946,0.025267616461399894,True
X90530_at,0.0006840194030902558,0.02586178101039163,True
X52541_at,0.0006856328532703069,0.02586178101039163,True
X77094_at,0.0006925181169606606,0.02598400871480289,True
X52056_at,0.0007232321829705645,0.026906592671573054,True
M29877_at,0.000724655041792962,0.026906592671573054,True
U45955_at,0.0007307711377683127,0.02699309555000156,True
J03779_at,0.0007353843625356779,0.02702348000266416,True
M73547_at,0.0007413725930677781,0.02710382162041123,True
Z31560_s_at,0.0007514430998857441,0.02733182581166056,True
L06633_at,0.0007574476397743585,0.027410376771326912,True
U68723_at,0.0007664483728220636,0.02753564716851501,True
M58603_at,0.0007686342806192295,0.02753564716851501,True
D14664_at,0.0007771026851591695,0.027595852340024787,True
X15949_at,0.0007780567148751553,0.027595852340024787,True
M34516_at,0.0007878080544508052,0.027803384258315793,True
M14539_at,0.0008384783842335018,0.02944587389754007,True
Z26491_s_at,0.0008561655699125454,0.029801218820593427,True
X04011_at,0.0008569574776576873,0.029801218820593427,True
M27891_at,0.0008757359043411038,0.030288046595190396,True
D50918_at,0.000881859133809181,0.030288046595190396,True
L06175_at,0.0008877959367705843,0.030288046595190396,True
M92934_at,0.0008895563878098539,0.030288046595190396,True
Z35227_at,0.0008953765004983925,0.030288046595190396,True
U15128_at,0.0008964480055526965,0.030288046595190396,True
X55990_rna1_at,0.0009197721238122705,0.03092950693706451,True
X71428_at,0.0009248415644794709,0.030953969545418535,True
S80437_s_at,0.0009292074909814932,0.03095476730470591,True
M37815_cds1_at,0.0009339585174740223,0.030968326842196768,True
U05255_s_at,0.0009490665274353239,0.03132358923188159,True
L37362_at,0.0009584068723944877,0.03148609490000139,True
S77154_s_at,0.0009897216215349314,0.03231951073670581,True
J05257_at,0.000992842313275154,0.03231951073670581,True
U85707_at,0.000997770120021771,0.03233228720743275,True
U59321_at,0.001010759913131548,0.03260501095346066,True
M34423_at,0.0010156121852262698,0.03261396066882017,True
M14058_at,0.0010273534776942897,0.03268899700390875,True
M27826_at,0.0010277477662222919,0.03268899700390875,True
X62320_at,0.0010317049131546457,0.03268899700390875,True
M21305_at,0.0010602099116595752,0.0334435241602704,True
S80267_s_at,0.001065829502670068,0.033472680724823414,True
J03827_at,0.0011027352423874045,0.034479822556928975,True
D87459_at,0.001117327566191199,0.034783529342257896,True
Y00339_s_at,0.001135040430985855,0.03514782112408493,True
X59871_at,0.0011419017347192226,0.03514782112408493,True
U24266_at,0.001143820241378553,0.03514782112408493,True
X98172_at,0.0011605701427696439,0.03550946157856134,True
HG2415-HT2511_at,0.0011758046029893133,0.03582184194320861,True
U17714_at,0.0012148102469104797,0.03685269042648855,True
D87433_at,0.001227263979602161,0.03705079285677517,True
L47738_at,0.0012317348726407233,0.03705079285677517,True
X52979_rna1_s_at,0.0012453640464507372,0.037303362551039096,True
X64624_s_at,0.0012662077604098704,0.03776901725507099,True
X67698_at,0.0012862514525886336,0.038207027522934874,True
X13794_rna1_at,0.0012917719009349217,0.0382117920405189,True
U14603_at,0.00130793402488679,0.03844582245997301,True
L42324_at,0.0013104691903174977,0.03844582245997301,True
D49950_at,0.001319532031000926,0.03855304856149837,True
M26692_s_at,0.0013255244137229975,0.03857005528747449,True
D13626_at,0.0013528022435202107,0.03920376908152676,True
U47686_s_at,0.0013672799809059553,0.03946291086590509,True
M32578_at,0.0013729492815785396,0.03946675575957019,True
J05682_at,0.0014131420668796412,0.04033210035333207,True
U46751_at,0.0014143673850937042,0.04033210035333207,True
X85372_at,0.0014281118948987687,0.040561791628419615,True
M81637_at,0.0014358738560252841,0.04062041555398512,True
J03191_at,0.001454009512835698,0.04097088465219641,True
U30999_at,0.0014644284082689415,0.04098412507340957,True
L09708_at,0.0014716200157885596,0.04098412507340957,True
X93512_at,0.0014717261914423975,0.04098412507340957,True
Y00451_s_at,0.001485262011142895,0.041171619539638736,True
X76732_at,0.0014900095162332435,0.041171619539638736,True
U50136_rna1_at,0.0015006694313761959,0.041300189223036264,True
M63959_at,0.0015083914133697308,0.041300189223036264,True
U57316_at,0.0015131120788594648,0.041300189223036264,True
M29610_s_at,0.001521343702410607,0.041300189223036264,True
L19711_at,0.0015328834929572428,0.041300189223036264,True
U49070_at,0.0015336441271525465,0.041300189223036264,True
X89399_s_at,0.00153521533793023,0.041300189223036264,True
D88422_at,0.0015498899377376558,0.041538215662149436,True
HG721-HT4828_s_at,0.0015696975857812196,0.04191151344207608,True
L31881_at,0.001601619748999039,0.0426042805619931,True
L07597_at,0.00161399829369613,0.04277395477977588,True
X91911_s_at,0.0016335487537220085,0.042972766577192824,True
D31716_at,0.0016335558623115803,0.042972766577192824,True
D00749_s_at,0.0016908499964015046,0.04431643244244973,True
Z24680_at,0.0017266981777799434,0.045055299749715685,True
D63483_at,0.0017344547314492715,0.045055299749715685,True
U52682_at,0.0017380007618420274,0.045055299749715685,True
HG3638-HT3849_s_at,0.0017481381846524585,0.045096768913741765,True
X00437_s_at,0.0017538741815216687,0.045096768913741765,True
J05272_at,0.0017585778872240443,0.045096768913741765,True
J03600_at,0.0017862629095458135,0.04564253864570647,True
M16279_at,0.001805370209586745,0.04581904126488704,True
X60992_at,0.0018060247714172058,0.04581904126488704,True
M60298_at,0.001814250549453163,0.04586451123067943,True
U73737_at,0.001836993753278559,0.04627536560820794,True
L01664_at,0.0018723970584781943,0.04700112193623609,True
M11722_at,0.0019047883424344915,0.04756678836487052,True
U29091_at,0.0019082762620778466,0.04756678836487052,True
L13939_s_at,0.0019183476837948382,0.047651221734402095,True
X13482_at,0.0019258668521839922,0.047671891629235005,True
X59841_at,0.0019922451126887534,0.04914434397355752,True
U05659_at,0.0020234351493615328,0.04974161786137368,True
M12886_at,0.0020976409743716194,0.051388599677990636,False
X62654_rna1_at,0.0021186844972172687,0.05153228482363298,False
M27783_s_at,0.002120401460474706,0.05153228482363298,False
X92762_at,0.002125191715268354,0.05153228482363298,False
L10373_at,0.0021896214110267045,0.05291461369223518,False
Z22555_at,0.002210887369171816,0.053248027212249575,False
M31158_at,0.0022572000762261027,0.05418040182968312,False
D87989_at,0.00230051114181653,0.054873661649276664,False
M79462_at,0.002301476340739756,0.054873661649276664,False
Z93784_at,0.0023399329069093686,0.055587581636346695,False
U79270_at,0.002353755290412152,0.055587581636346695,False
D82346_at,0.0023548112854785666,0.055587581636346695,False
U03270_at,0.002374197443171809,0.055797744395844624,False
D87116_at,0.0023793679753593444,0.055797744395844624,False
L11669_at,0.0024091112718995777,0.0560221475107841,False
U09813_at,0.0024107957057193266,0.0560221475107841,False
J02982_f_at,0.0024125121736303435,0.0560221475107841,False
X78925_at,0.002425762630775342,0.056146953879212376,False
X89576_at,0.0024473435425674196,0.05646314600311694,False
U49278_at,0.002474157090441005,0.056897631928238476,False
L01087_at,0.0025220136497912343,0.05781168909762607,False
M88458_at,0.0025746146192435868,0.05869147367256445,False
U50928_at,0.0025768594837302108,0.05869147367256445,False
D28137_at,0.0025971472285277806,0.05896516749100174,False
D85131_s_at,0.002679861566484875,0.060461506363456964,False
L38696_at,0.002680016273089129,0.060461506363456964,False
D89052_at,0.0026895774668368277,0.06048579735356387,False
U57650_at,0.0026992093354360498,0.06051151997586037,False
J04132_at,0.0027131658446477806,0.060633728233523594,False
M55998_s_at,0.002792417572029894,0.06220982772187848,False
X76223_s_at,0.0028235144880111554,0.06257583755392711,False
X84373_at,0.0028350401825076284,0.06257583755392711,False
U09510_s_at,0.0028358313125254413,0.06257583755392711,False
U25435_at,0.002843957268547115,0.06257583755392711,False
J04615_at,0.002869151104361836,0.06293593299383239,False
M16937_at,0.0029178293030875154,0.06380737761261011,False
U04636_rna1_at,0.002950718907233599,0.06432928161978083,False
HG4582-HT4987_at,0.0029869191603888816,0.06465719635562069,False
D87436_at,0.0030025670097238314,0.06465719635562069,False
X56468_at,0.003007748831431947,0.06465719635562069,False
Z83821_cds2_at,0.003019394861372776,0.06465719635562069,False
U59878_at,0.0030257585205615677,0.06465719635562069,False
D30758_at,0.0030271933135084654,0.06465719635562069,False
Z68228_s_at,0.0030292472412368227,0.06465719635562069,False
Z50853_at,0.0030477963397160155,0.06485892568906113,False
L76200_at,0.003077990672607952,0.06530653424113717,False
M13690_s_at,0.003089609331673606,0.06535853093620515,False
M58459_at,0.0031029436846458577,0.06544640688710154,False
M93651_at,0.0031264531549479,0.06574774201068903,False
D38751_at,0.0031552707417364287,0.06615860328776177,False
X75091_s_at,0.0031681826811346407,0.06623452883814913,False
U83461_at,0.0032287272473550395,0.06715024537056945,False
L28821_at,0.0032311768373406075,0.06715024537056945,False
M88108_at,0.003246747529932152,0.06715024537056945,False
M34516_r_at,0.0032496611941150878,0.06715024537056945,False
HG4052-HT4322_at,0.0032923250446041646,0.06783521746526905,False
M19508_xpt3_s_at,0.003314826510831036,0.06810201209139613,False
M93056_at,0.0034166771095480632,0.06981901326647769,False
X68277_at,0.0034179878846964107,0.06981901326647769,False
X52851_rna1_at,0.003473676031722324,0.07075381837185271,False
D15057_at,0.003590691406464819,0.07292888614440939,False
M37271_s_at,0.003614075997825144,0.07319530621731662,False
M27819_at,0.0036543662793459527,0.07380163514293851,False
D50915_at,0.0037146627632383064,0.07480743174894319,False
D26067_at,0.0037469717718475897,0.07524552608873653,False
X64364_at,0.003775446136724525,0.07560436940648635,False
D13631_s_at,0.0038020001143137905,0.07577335245862936,False
X99584_at,0.0038051424014853854,0.07577335245862936,False
AFFX-HSAC07/X00351_5_at,0.0038561630927522943,0.07657545038504486,False
M29474_at,0.003896043716198106,0.07715248792437861,False
X00351_f_at,0.0039355738863819725,0.077719407856003,False
HG3254-HT3431_at,0.004030384778411974,0.07891079036004843,False
X79353_at,0.004038851536342803,0.07891079036004843,False
S82362_s_at,0.004041524922171356,0.07891079036004843,False
M22489_at,0.004053628363841851,0.07891079036004843,False
M81933_at,0.004064878958665928,0.07891079036004843,False
HG4102-HT4372_at,0.004065436131914559,0.07891079036004843,False
X95586_at,0.0040733862887498695,0.07891079036004843,False
M13792_at,0.004106204257071593,0.07925974361129592,False
D28473_s_at,0.004122882185215288,0.07925974361129592,False
M31166_at,0.0041247531041928446,0.07925974361129592,False
X99585_at,0.004167528118213978,0.07967207538733663,False
M22877_at,0.00416856278853648,0.07967207538733663,False
HG3565-HT3768_r_at,0.004222070566217793,0.08047898680900173,False
D10511_at,0.004318900587839153,0.08186260141916954,False
M64925_at,0.004344390998493226,0.08186260141916954,False
D86972_at,0.004347706124510365,0.08186260141916954,False
L21954_at,0.004348992586157703,0.08186260141916954,False
U01337_at,0.004352072652246494,0.08186260141916954,False
U10868_at,0.0043846194731061395,0.08209469225499505,False
X15341_at,0.004387442523376787,0.08209469225499505,False
Y00097_s_at,0.00443193777454533,0.08259901887325569,False
HG627-HT5098_s_at,0.004454217591079599,0.08259901887325569,False
U67156_at,0.004455821629500479,0.08259901887325569,False
X66079_at,0.004471624780277502,0.08259901887325569,False
X17567_s_at,0.004472327294862771,0.08259901887325569,False
U85767_at,0.004519483036882116,0.08319200473775978,False
X07384_at,0.004527773578096619,0.08319200473775978,False
S34389_at,0.00460300562444588,0.084356881996593,False
X58072_at,0.004678959896414237,0.0849348388548994,False
M64099_at,0.004679465127675304,0.0849348388548994,False
X57809_s_at,0.004690164130628918,0.0849348388548994,False
D87120_at,0.0046915406129985834,0.0849348388548994,False
HG1877-HT1917_s_at,0.004710533309796698,0.0849348388548994,False
M64269_s_at,0.004720391045289956,0.0849348388548994,False
D25217_at,0.00472551390903794,0.0849348388548994,False
M92843_s_at,0.0047396956620227105,0.0849348388548994,False
X99586_s_at,0.004741768251402716,0.0849348388548994,False
Z83336_at,0.004772810807709197,0.08516523307988995,False
X80230_at,0.004788099556974862,0.08516523307988995,False
D63477_at,0.004790469696315874,0.08516523307988995,False
M86406_at,0.00480303968378759,0.08517629329781524,False
U64675_at,0.00488312270236568,0.08638159241976409,False
L07648_at,0.004950356679628319,0.0873147773039671,False
M20203_s_at,0.0049603709928610846,0.0873147773039671,False
D63506_at,0.004985133981197833,0.08753453239398855,False
U05572_s_at,0.005135548779542607,0.08995412100579667,False
M27394_s_at,0.0052138823713671015,0.09110237114087272,False
M32011_at,0.00525012275768773,0.09151130840967195,False
S77893_s_at,0.005272998254780158,0.09168586477640914,False
M31525_at,0.00529373468802919,0.09182246859114378,False
U46499_at,0.00533579449480927,0.09232737610071673,False
HG4638-HT5050_at,0.0053525752645374935,0.09239348440892928,False
L20860_at,0.005370440675234092,0.09247795066121701,False
M26602_at,0.005399225372080174,0.09253152558884678,False
J04990_at,0.005404730481383669,0.09253152558884678,False
U17418_at,0.005412490695826779,0.09253152558884678,False
X75918_at,0.005474753971910757,0.09337205996591337,False
Y10807_s_at,0.005488155310708416,0.09337722961823461,False
Z69881_at,0.005553285913245207,0.09426041732267876,False
Z34918_at,0.0055835245822417594,0.09454856709454039,False
U88964_at,0.0055994366942791725,0.09459332747278726,False
U45973_at,0.005622348329047913,0.09471812978595956,False
D13720_s_at,0.005633396974224556,0.09471812978595956,False
M94345_at,0.005672639612085594,0.09481970017078895,False
J05243_at,0.005679081247955264,0.09481970017078895,False
L03532_at,0.00567933959502411,0.09481970017078895,False
L38933_rna1_at,0.005736714949137261,0.09534491556605108,False
M87789_s_at,0.005737833671916655,0.09534491556605108,False
L08177_at,0.005750920703240562,0.09534491556605108,False
X92493_s_at,0.005794082141242666,0.0958376138861229,False
M69043_at,0.005812596533350283,0.0959212978848476,False
X95735_at,0.0058812460134563885,0.09651702040195852,False
U38904_at,0.005883037911914283,0.09651702040195852,False
L41351_at,0.005908920878301094,0.09651702040195852,False
HG2036-HT2090_at,0.005915101979006037,0.09651702040195852,False
D50692_at,0.005916389103051743,0.09651702040195852,False
M81750_at,0.0059402166117546625,0.09668448453241779,False
D30742_at,0.005982416680100964,0.09714954103061452,False
L09229_s_at,0.006043938115997781,0.09757996156057007,False
D13643_at,0.00606687025947222,0.09757996156057007,False
AJ000480_at,0.006068825729349908,0.09757996156057007,False
U40271_s_at,0.006071028442393255,0.09757996156057007,False
D86982_at,0.00608848309589841,0.09757996156057007,False
M58509_cds1_s_at,0.006097506419198051,0.09757996156057007,False
U16282_at,0.006104735987658052,0.09757996156057007,False
D83032_at,0.00618788518290334,0.09868777062397742,False
D79990_at,0.00622433171826427,0.09902680770930816,False
U26424_at,0.00623692476665442,0.09902680770930816,False
Y07909_at,0.00632188779001017,0.10015275123329445,False
X17042_at,0.006366984177534223,0.10064352594598996,False
U65011_at,0.006383313272949639,0.10067840779393357,False
D64109_at,0.00641584180217832,0.10096807109874004,False
D26155_s_at,0.006470123410900189,0.10147910897280253,False
S71043_rna1_s_at,0.006481234024218153,0.10147910897280253,False
M59488_at,0.006491018893477059,0.10147910897280253,False
D87438_at,0.006509919797317391,0.10155189985793367,False
M24069_at,0.006586584723874219,0.10241987906181586,False
L13740_at,0.00659624914509607,0.10241987906181586,False
HG4128-HT4398_at,0.006608661013948001,0.10241987906181586,False
D31762_at,0.00667444442380639,0.10321499847573916,False
U60061_at,0.006878867547594036,0.10586782011525409,False
U25128_at,0.006881610719840566,0.10586782011525409,False
U52513_at,0.006920482564147031,0.10586782011525409,False
D26579_at,0.006937242231471101,0.10586782011525409,False
D61391_at,0.006941576584278347,0.10586782011525409,False
D79993_at,0.0069446496047100926,0.10586782011525409,False
L00137_cds1_at,0.0069499424623283654,0.10586782011525409,False
X66899_at,0.006971816516309258,0.10597458410398443,False
U57721_at,0.006998138488278208,0.10614836017645818,False
M12963_s_at,0.007054838315569818,0.10678119395264805,False
U51269_at,0.007095885990230673,0.10717493903464931,False
U32315_at,0.007115062286640385,0.10723737640900488,False
U76366_s_at,0.007185857991793271,0.10807591059808909,False
M14483_rna1_s_at,0.0072391790875171325,0.10864864782086239,False
U78027_rna3_at,0.0072724485163466876,0.10879525150382284,False
X94232_at,0.007279469065412189,0.10879525150382284,False
M28212_at,0.007384407907442289,0.11013272797522192,False
U67122_s_at,0.00740586865564947,0.11022220802948868,False
M33493_s_at,0.007441272915281027,0.1105184054438301,False
U43189_s_at,0.007525154466149949,0.1115318631791746,False
X55037_s_at,0.00757623186471514,0.11205592731027848,False
M11058_at,0.007597011395576461,0.11213062989454366,False
X82200_at,0.0076329470292052955,0.11242826316364576,False
X52213_s_at,0.0076907136413421695,0.11304556195696562,False
K01900_at,0.007713584434763079,0.11314844328276953,False
U58970_at,0.0077867014250531,0.11379770815535127,False
X04500_at,0.007789771578034986,0.11379770815535127,False
M16336_s_at,0.00790027587173905,0.11517600550026112,False
D26599_at,0.007963319251253534,0.11585816926976825,False
X63454_at,0.007994230562520589,0.11607101767863397,False
